Date,Close/Last,Volume,Open,High,Low
12/07/2021,171.18,120405400,169.08,171.58,168.34
12/06/2021,165.32,107497000,164.29,167.8799,164.28
12/03/2021,161.84,118023100,164.02,164.96,159.72
12/02/2021,163.76,136739200,158.735,164.2,157.8
12/01/2021,164.77,152423000,167.48,170.3,164.53
11/30/2021,165.3,174048100,159.985,165.52,159.92
11/29/2021,160.24,88748220,159.37,161.19,158.7901
11/26/2021,156.81,76959750,159.565,160.45,156.36
11/24/2021,161.94,69463620,160.75,162.14,159.64
11/23/2021,161.41,96041900,161.12,161.8,159.0601
11/22/2021,161.02,117467900,161.68,165.7,161
11/19/2021,160.55,117305600,157.65,161.02,156.5328
11/18/2021,157.87,137827700,153.71,158.67,153.05
11/17/2021,153.49,88807000,150.995,155,150.99
11/16/2021,151,59256210,149.94,151.488,149.34
11/15/2021,150,59222800,150.37,151.88,149.43
11/12/2021,149.99,63804010,148.43,150.4,147.48
11/11/2021,147.87,40999950,148.96,149.43,147.681
11/10/2021,147.92,65187090,150.02,150.13,147.85
11/09/2021,150.81,56787930,150.2,151.428,150.0601
11/08/2021,150.44,55020870,151.41,151.57,150.16
11/05/2021,151.28,65463880,151.89,152.2,150.06
11/04/2021,150.96,60394620,151.58,152.43,150.64
11/03/2021,151.49,54511530,150.39,151.97,149.82
11/02/2021,150.02,69121990,148.66,151.57,148.65
11/01/2021,148.96,74588260,148.985,149.7,147.8
10/29/2021,149.8,124953200,147.215,149.94,146.4128
10/28/2021,152.57,100077900,149.82,153.165,149.72
10/27/2021,148.85,56094930,149.36,149.73,148.49
10/26/2021,149.32,60893400,149.33,150.84,149.0101
10/25/2021,148.64,50720560,148.68,149.37,147.6211
10/22/2021,148.69,58883440,149.69,150.18,148.64
10/21/2021,149.48,61420990,148.81,149.64,147.87
10/20/2021,149.26,58418790,148.7,149.7539,148.12
10/19/2021,148.76,76378890,147.01,149.17,146.55
10/18/2021,146.55,85589180,143.445,146.84,143.16
10/15/2021,144.84,67940330,143.77,144.895,143.51
10/14/2021,143.76,69907100,142.11,143.88,141.51
10/13/2021,140.91,78762720,141.235,141.4,139.2
10/12/2021,141.51,73035860,143.23,143.25,141.0401
10/11/2021,142.81,64452220,142.27,144.81,141.81
10/08/2021,142.9,58773160,144.03,144.1781,142.56
10/07/2021,143.29,61732660,143.06,144.215,142.72
10/06/2021,142,83221120,139.47,142.15,138.37
10/05/2021,141.11,80861060,139.49,142.24,139.36
10/04/2021,139.14,98322010,141.76,142.21,138.27
10/01/2021,142.65,94639580,141.9,142.92,139.1101
09/30/2021,141.5,89056660,143.66,144.378,141.28
09/29/2021,142.83,74602040,142.47,144.45,142.03
09/28/2021,141.91,108972300,143.25,144.75,141.69
09/27/2021,145.37,74150730,145.47,145.96,143.82
09/24/2021,146.92,53477870,145.66,147.4701,145.56
09/23/2021,146.83,64838170,146.65,147.08,145.64
09/22/2021,145.85,76404340,144.45,146.43,143.7001
09/21/2021,143.43,75833960,143.93,144.6,142.78
09/20/2021,142.94,123478900,143.8,144.84,141.27
09/17/2021,146.06,129868800,148.82,148.82,145.76
09/16/2021,148.79,68034150,148.44,148.97,147.221
09/15/2021,149.03,83281320,148.56,149.44,146.37
09/14/2021,148.12,109296300,150.35,151.07,146.91
09/13/2021,149.55,102404300,150.63,151.42,148.75
09/10/2021,148.97,140893200,155,155.48,148.7
09/09/2021,154.07,57305730,155.49,156.11,153.95
09/08/2021,155.11,74420210,156.98,157.04,153.975
