Date,Close/Last,Volume,Open,High,Low
12/07/2021,204.32,4432396,200.62,208.11,200.62
12/06/2021,194.71,5275367,190.05,196,185.71
12/03/2021,197.05,7840127,212.84,213.26,188.43
12/02/2021,209.35,9341174,207.975,212.6,201.19
12/01/2021,201.5,8103894,220.6877,225.6,199.1826
11/30/2021,217.14,5052869,226.825,229.04,216.49
11/29/2021,224.57,6396549,235,235.685,221.03
11/26/2021,232.64,2154810,235.72,236.3,227.86
11/24/2021,230.77,3130329,229.64,232.06,222.62
11/23/2021,230.58,7277746,231,236.77,224.05
11/22/2021,239.64,6079761,252.755,253.33,235.1
11/19/2021,257.63,2587219,269.4,269.66,256.91
11/18/2021,264.72,2552500,270.42,274.98,264.56
11/17/2021,269.78,3368795,265.39,270.58,262.3912
11/16/2021,262.51,4216675,255.31,262.88,253.99
11/15/2021,254.15,12636900,270.86,272.37,247.75
11/12/2021,284.3,1733343,283.96,289.53,281.51
11/11/2021,280.92,1254802,285.44,288.6,280.72
11/10/2021,281.56,4038950,290.99,298.48,278.785
11/09/2021,293.18,3175528,285.676,295.77,281.63
11/08/2021,282.93,2254886,274.29,284.415,272.17
11/05/2021,273.43,2282490,281,283.69,270.2401
11/04/2021,279.62,2197438,272.71,280.18,270.92
11/03/2021,270.65,2022125,269.9,271.4999,265.81
11/02/2021,268.12,2488581,266.58,270.87,264.31
11/01/2021,269.17,4901956,275.5413,275.5413,263.23
10/29/2021,281.8,1238991,281,284.5,279.54
10/28/2021,281.17,1538608,278,283.73,273.04
10/27/2021,279,2319209,287.859,291.5,278.22
10/26/2021,287.08,4393258,284,297.4,283.02
10/25/2021,280.1,2084477,284,285.324,278.06
10/22/2021,283.39,2545994,284.23,290.73,280.32
10/21/2021,284.1,1951103,283,287.5,282.01
10/20/2021,283.33,1775382,282.709,288.405,279.57
10/19/2021,282.35,2298499,283.23,285.3,278.89
10/18/2021,285.35,3289997,273,285.71,270.1
10/15/2021,273.11,2552725,276,276,270.29
10/14/2021,276.01,4921023,270.06,276.89,268.2795
10/13/2021,270.44,5486999,253.81,271.8,253.81
10/12/2021,252.74,2314980,246.19,254.3,243.27
10/11/2021,244.36,1113236,243.21,248.71,241.65
10/08/2021,245,1760653,250.152,250.97,243.5
10/07/2021,249.88,1781983,251.3275,253.7799,249.67
10/06/2021,248.2,2139167,243.34,251.61,242.77
10/05/2021,244.92,2174878,240.09,246.1,239.277
10/04/2021,238.88,3179799,245.57,247.26,235.63
10/01/2021,249.27,2576131,246.65,252.62,243.23
09/30/2021,245.78,2514867,240.88,247.71,240.27
09/29/2021,239.57,2836472,243.7,248.32,238.57
09/28/2021,241.86,3817716,249.05,249.83,240.31
09/27/2021,253.34,3583377,259.3,260.89,250.3
09/24/2021,261.75,2039405,262.05,262.05,254.17
09/23/2021,262.29,1910648,262.49,264.29,259.93
09/22/2021,259.86,2386306,252.89,261.07,250.55
09/21/2021,254.11,4293096,254.65,259.59,252.51
09/20/2021,257.56,2866953,254.35,261.62,253.13
09/17/2021,263.09,4606585,266.33,266.72,259.57
09/16/2021,264.74,2282767,260.23,265.06,257.05
09/15/2021,259.57,2339487,257.89,259.98,254.36
09/14/2021,257.3,2462289,256.04,259.0528,253.83
09/13/2021,254.03,4953411,258.72,259.69,248.38
09/10/2021,262,3040704,268.07,269.7,260.57
09/09/2021,265.16,2972181,265.01,269.85,264.53
09/08/2021,265.23,3044745,270.23,270.58,263.66
09/07/2021,269.68,4476131,279.37,279.7999,268.3091
09/03/2021,278.23,3472820,272.59,278.84,271.2001
09/02/2021,272.67,4187975,272.25,275.18,269.38
09/01/2021,269.97,11742310,273.22,285.45,269.2842
08/31/2021,281,8621669,281.99,286.4,278.375
08/30/2021,286.37,4772935,285.31,289.24,280.5
08/27/2021,282.31,4041365,279.545,285.76,277.75
08/26/2021,278.77,6780124,269.58,281.81,268.39
08/25/2021,270,14749050,267.03,275.75,265.19
08/24/2021,265.63,11061200,260.57,269.68,258.42
08/23/2021,245.8,2670947,242.1,246.81,239.3111
08/20/2021,237.88,1740925,236.54,238.64,233.322
08/19/2021,234.96,2077134,231.975,237.2,231.02
08/18/2021,233.78,2028006,233.475,237.5,230.23
08/17/2021,232.8,3091366,234,234.27,227.25
08/16/2021,234.71,3758519,243.33,243.459,229.07
08/13/2021,243.82,1767371,245.82,248.9639,242.28
08/12/2021,245.82,2480860,240,247.46,239.88
08/11/2021,239.88,5487831,254.205,254.98,233.86
08/10/2021,252.67,3214411,266.25,266.685,252.1
08/09/2021,263.56,1614178,258.95,265.5,258.1964
08/06/2021,260.74,1839962,264.3,267.74,256.13
08/05/2021,265.62,1871988,265.31,268.33,261.435
08/04/2021,264.21,2079838,255.38,265.19,254.13
08/03/2021,254.34,2570702,255.31,262.5824,250.58
08/02/2021,253.91,2286464,254.26,257.17,246.2001
07/30/2021,253.61,2265878,256.07,259.5699,252.5714
07/29/2021,260.03,2142739,263.51,266.7602,259.56
07/28/2021,263.58,1863104,260.18,264.8799,258
07/27/2021,257.84,2357737,266,266.9613,254.03
07/26/2021,264.83,1718234,267.56,268.31,261.43
07/23/2021,268.96,3749114,261.32,272.63,260.518
07/22/2021,263.04,3284275,254.72,265,254.6416
07/21/2021,253.55,1841526,252.45,254.84,249.51
07/20/2021,252.24,2417450,254.895,255,245.87
07/19/2021,250.4,3196104,245.05,252.15,239.71
07/16/2021,249.96,2113810,252.01,253.63,248.4188
07/15/2021,249.3,2532927,255.74,255.85,247.05
07/14/2021,254.23,2705171,263.16,264.06,252.65
07/13/2021,261.16,2246313,261.14,267.49,259.11
07/12/2021,261.79,2146209,267.697,269.89,260.3
07/09/2021,264.44,2587009,262.955,265,259.6
07/08/2021,263.39,3414235,259.65,265.165,254.28
07/07/2021,267.52,3485368,268.73,269.68,260.63
07/06/2021,264.98,5669463,257.84,267.17,257.7002
07/02/2021,252.59,1916376,254.269,256.35,250.72
07/01/2021,251.16,2511532,251,254,245.54
06/30/2021,251.31,2820584,257.138,260.02,251.3
06/29/2021,257.12,2298550,255.09,259.75,251.31
06/28/2021,255.09,3167904,255,260.82,253.8
06/25/2021,253.24,3799215,255,256.79,249.55
06/24/2021,253.7,3231137,255.772,258.39,251.08
06/23/2021,252.9,3504853,255.31,257.1639,249.35
06/22/2021,256.61,9390447,243.83,257.545,242.8
06/21/2021,237.68,5998217,238.04,238.84,231
06/18/2021,244.91,5987322,241.2,247.94,239.66
06/17/2021,241.31,4985713,233,241.4492,232
06/16/2021,234.17,5452575,229,235.8,227.65
06/15/2021,228.34,2319285,233.75,234,227.29
06/14/2021,233.53,2725469,231.5,234.7382,228.6
06/11/2021,231.27,4010214,226.61,232,224.61
06/10/2021,228.6,7787236,214.89,229.41,214.76
06/09/2021,213.95,3353014,215.69,216.69,211.225
06/08/2021,215.14,2891916,217.735,221.6,212.63
06/07/2021,215.41,5854901,206.44,217.81,204.5301
06/04/2021,206.94,7318288,216.99,217.41,205.33
06/03/2021,216,4565772,220.05,220.54,213.93
06/02/2021,220.58,2193340,221.35,223.25,218.5723
06/01/2021,222.07,2882966,223.23,226.95,218.85
05/28/2021,222.15,2580320,222.85,225.925,221
05/27/2021,222.81,4073508,218,222.98,211.345
05/26/2021,219.96,3702203,217.96,225.3799,216.38
05/25/2021,212.86,1827870,214.58,216.59,211.84
05/24/2021,214.35,2877928,212.44,215.32,209.36
05/21/2021,210.6,3554421,207.84,210.99,205.62
05/20/2021,204.03,2564334,201.55,205.38,199.01
05/19/2021,198.71,4273495,189.63,199.75,189.27
05/18/2021,196.78,4125258,191.33,199.31,187.51
05/17/2021,188.53,2021640,189.76,192.514,185
05/14/2021,190.64,2377390,187.512,191.35,183.76
05/13/2021,183.76,3301530,190.965,192.85,179.41
05/12/2021,189.27,3769386,192,195.5,185.66
05/11/2021,195.1,4910455,178.92,195.35,177.2874
05/10/2021,187.58,4166120,189.18,190.7,183.8
05/07/2021,189.18,3182322,194.28,197.79,187.9101
05/06/2021,187.07,4903490,191.52,191.52,180.67
05/05/2021,193.24,2307485,202.26,202.74,192
05/04/2021,197.79,4274710,201.95,202.99,191.36
05/03/2021,205.12,2304113,209,209.59,204.0204
04/30/2021,208.51,2028927,207.334,214.35,207
04/29/2021,211.53,3322318,221,221,208.42
04/28/2021,220.24,2486635,217.87,223.26,215.0229
04/27/2021,221.25,2326723,225.48,227.2,219.8907
04/26/2021,224.47,3614626,220.05,225.1,215.93
04/23/2021,219.3,2500362,219.51,224.99,217.73
04/22/2021,216.73,5216851,212,223.93,212
04/21/2021,210.37,1975392,205.48,212.2189,201.5308
04/20/2021,206.6,2743349,216.09,217.74,205.58
04/19/2021,213.37,3872852,211.05,223.23,210.29
04/16/2021,215.2,3579673,213.507,216.54,208.49
04/15/2021,213.1,4337515,215.5,215.5,207.81
04/14/2021,208.2,3263769,216.39,217.4,207.5
04/13/2021,216.35,5361839,206.52,219,206.14
04/12/2021,203.99,3306838,201.53,206.15,197.51
04/09/2021,202.68,4503978,201.44,204.24,194.31
04/08/2021,203.45,4613302,197.545,204.31,195.6735
04/07/2021,193.93,2332473,195.07,196.8899,190.64
04/06/2021,194.38,3672348,186.62,198.2711,185.86
04/05/2021,186.62,3767691,191.43,191.67,184.72
04/01/2021,187.03,3344385,188.767,194.5,185.43
03/31/2021,182.51,4268053,179.24,184.99,178.71
03/30/2021,175.28,4277951,171.08,176.2399,168.76
03/29/2021,173.85,3050521,177.69,182.73,171.2
03/26/2021,177.685,3732751,179.03,181.5,170.1
03/25/2021,179.16,3755740,175.67,181.88,174.58
03/24/2021,181.6,3994319,191,193.5,180.11
03/23/2021,190.6,4210512,195.74,197.85,189.69
03/22/2021,195.73,5560978,191.91,198,190.23
03/19/2021,194.63,7375768,192.88,197.79,190.02
03/18/2021,190.21,8827098,203.59,203.75,189.61
03/17/2021,208.03,11955140,199,210.88,191.28
03/16/2021,196.31,6766359,203.81,209.1,193.5
03/15/2021,200.55,2528903,199.5,201.47,195.0211
03/12/2021,199,3033946,200.9,200.98,195.31
03/11/2021,205.8,3597827,203.99,206.67,198.42
03/10/2021,194.86,3506867,204,208.22,192.5
03/09/2021,199.1,3865483,192.65,201.14,189.5
03/08/2021,179.75,5302577,184.29,192.44,178.9
03/05/2021,183.12,9437981,194.64,195.41,168.67
03/04/2021,192.99,6635090,204.79,208.3773,187.1901
03/03/2021,210.62,4155221,220.857,223.47,206.61
03/02/2021,222.1,2538463,226.5,231.16,221.52
03/01/2021,223.4,2355748,220.819,223.84,215.86
02/26/2021,216,4903513,209.3,217.19,204.52
02/25/2021,208.66,3604361,216.43,221.8063,204.9
02/24/2021,216.6,3944337,219.78,219.88,207.5
02/23/2021,218.39,5899516,211.2,219.21,198.162
02/22/2021,225.83,3268466,235.652,237.8,222.42
02/19/2021,239.2,2333434,241.83,246.21,236.61
02/18/2021,239.25,2640404,236.783,241.32,231.6
02/17/2021,238.56,2983495,238.9,242.6,229.15
02/16/2021,242.42,3296598,248.54,251.28,237.61
02/12/2021,242.1,3891194,236.55,245.42,233.5
02/11/2021,234.8,3980911,233.49,239.89,229.13
02/10/2021,231.35,3381544,225,233.55,220.4
02/09/2021,223.72,1869484,221.2,225.39,220.4
02/08/2021,222.36,2210580,225.505,228.65,219.15
02/05/2021,223.53,2134164,226,227.95,222.4
02/04/2021,224.01,3212615,219.74,224.29,216.81
02/03/2021,218.12,2903829,223,223.49,216.27
02/02/2021,219.64,3584306,218.53,221.47,212.53
02/01/2021,215.01,2932115,216.56,218.49,210.45
01/29/2021,215.8,4000451,211.33,217.55,205.3601
01/28/2021,212.49,3416345,202,216.8,201.72
01/27/2021,200.93,6109072,200,207.76,193.86
01/26/2021,206.8,5463870,217.13,217.6312,206.01
01/25/2021,217.49,5213234,227.72,230.63,208.69
01/22/2021,223.52,2042153,220.97,226.15,220.31
01/21/2021,221,3175741,228,228.5,219.81
01/20/2021,226.33,2128758,227,228.57,222.2
01/19/2021,221.92,3662919,224,224.66,217.51
01/15/2021,219.51,3654913,228.08,230.05,218.75
01/14/2021,225.62,3101836,228.65,231.9,222.76
01/13/2021,226.42,3553954,236.5,236.55,225.6
01/12/2021,233.59,3384442,233.405,238.54,233
01/11/2021,232.24,5128680,223.65,234.63,218
01/08/2021,223.73,3537355,225.83,228.82,220.11
01/07/2021,221.47,4194579,213.025,222.1,213.025
01/06/2021,208.85,4703889,204,214.695,203
01/05/2021,211.24,5072240,200.245,211.97,197.75
01/04/2021,200.49,6281340,209.96,211.44,195.985
12/31/2020,211.82,2597782,211.47,214.25,208.1
12/30/2020,210.29,2550811,207.77,210.9893,205.24
12/29/2020,205.93,8153413,210.6,213.5,202.78
12/28/2020,212.55,4614644,225.0886,227.0934,212.0159
12/24/2020,221.12,2407244,223.5,227.3599,219.2822
12/23/2020,223.5,5039762,225.63,227.2624,216.21
12/22/2020,224.9,8308401,213.015,225.75,211.55
12/21/2020,210.65,8917236,202.24,211.6094,201.8
12/18/2020,203.75,15264150,193.7,205.91,193.7
12/17/2020,185.25,3899642,182.14,186.9,180.79
12/16/2020,179.79,4415568,177.05,182.21,176.55
12/15/2020,174.93,2753722,175.403,176.5,172.4
12/14/2020,173.8,3276771,176.8115,179.5131,172.88
12/11/2020,175.92,5328746,177.17,178.88,171.38
12/10/2020,179.99,9464406,165.35,181.8,164.15
12/09/2020,166.17,6358401,175.44,177.7,162.89
12/08/2020,177.48,4596063,171.29,178.88,170.8
