Date,Close/Last,Volume,Open,High,Low
12/07/2021,43.82,8808419,42.24,44.02,41.4
12/06/2021,40.35,6254640,39.22,41.01,37.71
12/03/2021,39.95,6415861,42.21,42.3999,38.68
12/02/2021,42.31,3907730,42.51,44.08,41.61
12/01/2021,42.74,5021793,47.36,47.365,42.21
11/30/2021,46.04,4478747,47.28,48.02,44.53
11/29/2021,47.86,2963915,48.19,48.5,46.5
11/26/2021,47.41,2927763,47.86,48.7,46.22
11/24/2021,49.37,3568768,49.96,50.6,48.535
11/23/2021,50.65,4660144,52.905,52.95,49.06
11/22/2021,53.21,3230014,55.33,56.96,53.06
11/19/2021,54.86,4958493,52.15,56.28,52
11/18/2021,52.39,4101033,55.15,55.4,51.69
11/17/2021,55.14,2312019,55.52,56.5823,54.87
11/16/2021,55.98,3980348,57.52,57.52,55.15
11/15/2021,57.96,3051925,58.62,58.85,57.12
11/12/2021,58.66,3197897,58.75,59.95,58.2
11/11/2021,58.12,4708879,54.1,58.18,53.41
11/10/2021,53.96,3731269,54.31,55.815,52.95
11/09/2021,55.99,4609885,58,58.34,54.16
11/08/2021,58.17,4345910,57.23,60.6,57.09
11/05/2021,56.19,5189170,57.81,58.75,54.69
11/04/2021,57.75,5024176,58.9,58.9,56.06
11/03/2021,58.31,3853793,56.66,58.9799,55.3801
11/02/2021,57.72,4640210,57.6,58.41,55.59
11/01/2021,58.19,6332872,58.59,59.87,57.32
10/29/2021,57.68,5270416,56.13,58.3694,55.98
10/28/2021,56.02,6105239,54.2,56.5,52.92
10/27/2021,54.2,8173497,55.2,57.49,53.59
10/26/2021,52.58,3523978,55.09,55.26,52.58
10/25/2021,54.23,3337820,52.08,54.6,51.7501
10/22/2021,51.69,3574072,52.66,52.9,50.79
10/21/2021,52.96,4465862,51.76,53.685,51.395
10/20/2021,51.72,3905102,51.79,52.255,50.68
10/19/2021,51.62,7826757,49.128,52.84,48.84
10/18/2021,48.62,3752791,47.97,49.14,47.8029
10/15/2021,48.64,7270798,49.97,50.605,48.52
10/14/2021,49.41,4673784,50.075,51.25,48.45
10/13/2021,49.66,6794433,49.54,51.42,48.38
10/12/2021,48.89,9999285,45.17,49.25,45.17
10/11/2021,45.06,7317131,43.68,46.88,43.68
10/08/2021,43.22,2532208,43.97,44.5699,42.8
10/07/2021,44.01,6305898,41.27,44.49,41.04
10/06/2021,40.9,5270845,40.3,41.56,39.94
10/05/2021,41.01,4776516,41.11,41.63,40.27
10/04/2021,40.99,6248140,43.7,43.77,40.67
10/01/2021,44.55,5686231,44.85,45.53,44.04
09/30/2021,44,7171323,41.57,44.5799,41.53
09/29/2021,41.61,3926471,43.17,43.35,41.49
09/28/2021,42.95,4309733,44.263,45,42.9
09/27/2021,45.03,6516614,42.81,45.63,41.21
09/24/2021,43.02,4589678,44.2,45.1,42.93
09/23/2021,44.56,3939335,45.33,45.45,43.8431
09/22/2021,44.68,4483629,43.08,44.97,42.06
09/21/2021,43.19,4332599,43.18,43.65,42.35
09/20/2021,42.82,6551018,43.14,43.71,41.77
09/17/2021,44.91,14183540,43.67,45.155,43.4
09/16/2021,43.76,5336403,42.5,44.05,42.05
09/15/2021,42.83,6807105,44.19,44.5,42.54
09/14/2021,44.49,6361893,46,47.0313,43.62
09/13/2021,45.95,9117834,45,46.93,42.3047
09/10/2021,44.7,9121812,46.04,47.705,44.65
09/09/2021,44.61,4319732,44.575,45.38,43.59
09/08/2021,44.84,5066751,46.78,47.72,44.78
09/07/2021,45.5,4070541,45.49,46.86,45.2
09/03/2021,45.54,3806795,47.14,47.46,45.27
09/02/2021,47.39,6313161,47.57,48.5273,46.5201
09/01/2021,47,11547860,46.98,47.91,46.2
08/31/2021,44.25,4073574,44.76,45.89,43.88
08/30/2021,44.67,4122202,44.95,45.2599,43.3794
08/27/2021,44.38,3666691,44.03,45.48,43.87
08/26/2021,44.38,3360490,44.58,46.21,44.03
08/25/2021,44.78,2695613,44.56,45.34,43.76
08/24/2021,44.41,3429940,44.63,45.6,44.15
08/23/2021,44.59,5919494,42.823,44.89,42.5
08/20/2021,42.12,4080757,40.78,42.54,40.74
08/19/2021,41,4399982,41.915,42.84,40.97
08/18/2021,42.35,5083553,43.79,44.06,42.27
08/17/2021,43.58,5624117,43.53,44.38,42.35
08/16/2021,44.33,6575200,46.28,46.48,44.05
08/13/2021,46.69,4456219,49.57,49.57,46.41
08/12/2021,49.9,3014939,48.77,50.21,48.35
08/11/2021,48.97,4784172,49.64,49.74,47.33
08/10/2021,49.5,2966268,51.627,52.18,49.41
08/09/2021,51.18,5347306,48.7195,51.84,48.6509
08/06/2021,48.37,10983250,50.74,51.05,47.8
08/05/2021,53.45,2919210,52.55,53.56,51.821
08/04/2021,52.81,2611904,53.21,54.15,52.16
08/03/2021,53.59,4312213,52.08,54.6699,52
08/02/2021,51.2,2973026,53.2,53.46,51.07
07/30/2021,52.97,3230848,51.92,54.61,51.24
07/29/2021,52.62,3844381,52.6,54.3313,51.825
07/28/2021,52.38,3895569,50.44,53.08,48.93
07/27/2021,49.59,3412176,49.99,50.45,47.77
07/26/2021,50.09,3452134,50.153,51.7,48.58
07/23/2021,50.62,3055959,51.67,51.86,49.97
07/22/2021,52.47,3864857,52.89,53.15,51.1141
07/21/2021,53,5206471,50.68,53.42,50.18
07/20/2021,50.51,7002648,47.894,51,46.51
07/19/2021,47.36,5941192,44.585,47.5,43.94
07/16/2021,46.35,5017624,47.37,47.95,45.92
07/15/2021,47.11,8999216,49,50.32,45.77
07/14/2021,48.7,8058194,53.51,53.67,48.65
07/13/2021,53.26,4899825,54.38,55.65,52.821
07/12/2021,54.57,4846865,53.52,54.9299,52.91
07/09/2021,52.58,4455155,52.3,53.28,51.4272
07/08/2021,52.7,6251267,49.99,53.0199,49.27
07/07/2021,53.69,7319786,57.39,58.86,52.94
07/06/2021,56.57,4479294,56.65,58.02,55.575
07/02/2021,56.82,4049947,56.43,57.76,55.81
07/01/2021,56.21,4709549,55.71,56.63,54.36
06/30/2021,55.78,4265015,56.16,56.79,54.75
06/29/2021,56.91,6509186,57.66,59.94,56.7261
06/28/2021,57.52,9911683,56.31,58.49,56.12
06/25/2021,54.38,26826090,54.13,55.57,53.37
06/24/2021,52.84,12944260,56.212,56.88,52.07
06/23/2021,55.85,10781080,52.01,56.6,51.3101
06/22/2021,52.35,6810210,49.18,52.49,49.13
06/21/2021,50.15,12749300,51.7,52.15,48.62
06/18/2021,52.71,13408750,50.48,52.82,49.9
06/17/2021,52.16,24813340,49.8,52.75,48.68
06/16/2021,47.73,17478230,44.51,49.55,44.25
06/15/2021,43.17,7124228,45.89,46.09,42.97
06/14/2021,46.15,4465615,45.39,46.195,44.74
06/11/2021,44.96,4338890,45.4482,45.91,44.6024
06/10/2021,45.04,5306743,43.04,45.28,42.64
06/09/2021,43.29,4689729,44.92,46.19,43.18
06/08/2021,44.75,6560731,43.78,45.23,42.36
06/07/2021,43.51,4728791,42.24,43.83,41.05
06/04/2021,42.31,4566748,41.52,43.74,41.48
06/03/2021,41.3,5268473,42.5,43.49,41.11
06/02/2021,42.98,5841339,43.82,44.71,42.35
06/01/2021,44.03,5267637,44.53,45.5999,42.55
05/28/2021,44.72,4870646,45.68,47.75,44.275
05/27/2021,45.32,6319975,45.651,46.41,44.55
05/26/2021,45.25,3979199,43.8,45.84,43.7851
05/25/2021,43.96,4672604,44.8,45.25,43.66
05/24/2021,44.85,4824887,46.253,46.46,43.82
05/21/2021,45.97,5473278,45.01,46.51,43.73
05/20/2021,44.69,8771910,43.45,45.48,42.86
05/19/2021,41.89,6181575,38.25,42.11,38.1
05/18/2021,40.11,5485380,40.4,41.2394,38.94
05/17/2021,40,5125469,40.44,41.0173,38.702
05/14/2021,41.42,5396315,40.58,42.1,40.22
05/13/2021,39.45,6998628,40.18,41.36,38.11
05/12/2021,39.63,9449415,40.81,41.98,39.15
05/11/2021,42.94,9902901,37.86,43.81,37.42
05/10/2021,40.8,7971598,45.2,45.2,40.57
05/07/2021,45.64,9445708,46.755,49.92,45.1301
05/06/2021,46.73,15073390,44.8,46.97,43.29
05/05/2021,41.84,8387960,44.4,44.4,40.965
05/04/2021,43.4,10016440,45.83,45.84,42.55
05/03/2021,47.55,3925780,49.52,49.67,47.33
04/30/2021,49,5116816,50,51.24,48.48
04/29/2021,51.86,4821113,53.81,54.32,50.21
04/28/2021,53.5,5373264,54.47,54.8,52.01
04/27/2021,56.11,4542514,57.005,57.85,55.81
04/26/2021,56.85,4267312,56.2,57.03,54.75
04/23/2021,55.69,5737700,53.44,56.22,52.81
04/22/2021,53.1,7390683,53.99,55.05,52.13
04/21/2021,52.22,6140186,47,52.5,46.1
04/20/2021,48.23,5026086,48.6,50.5,47.015
04/19/2021,48.54,6291966,51.38,52.55,47.62
04/16/2021,52.16,10346360,49.02,53,48.2
04/15/2021,47.2,8640503,50.6,50.75,46.2
04/14/2021,49.68,3713351,51.79,52.67,49.24
04/13/2021,51.25,4422771,50.9,51.34,49.44
04/12/2021,50.81,4294301,51.05,51.18,49.64
04/09/2021,51.6,3939564,52.97,53.33,51.32
04/08/2021,53.62,4164742,54.45,55.2405,53.25
04/07/2021,54.21,4774050,57.62,58.1199,53.7
04/06/2021,56.22,5124772,56.01,58.47,55.32
04/05/2021,55.16,5234455,59.98,60.19,54.71
04/01/2021,59.13,5376638,62.5,64.62,58.51
03/31/2021,60.48,6750611,60,62.29,58.62
03/30/2021,57.92,5080783,51.93,58.1,51.91
03/29/2021,51.91,6674458,55.82,56.43,51.003
03/26/2021,57.09,4932662,53.2,57.2,53.01
03/25/2021,53,6966854,52.85,54.4,50.1587
03/24/2021,55.25,5720176,57.76,59.62,55.25
03/23/2021,56.15,7725639,59.97,61.47,55.37
03/22/2021,57.38,4138870,57,58.46,55.88
03/19/2021,55.58,9308865,51.51,56,50.35
03/18/2021,51.47,4514081,55.38,56.1,51.32
03/17/2021,57.01,4760640,54.95,58.17,53.3
03/16/2021,56.77,6520820,57.55,60.13,56.03
03/15/2021,62.12,3867129,61.81,63.97,61.1314
03/12/2021,62.29,5103549,59.5,63.18,58.29
03/11/2021,63.46,6525999,58.02,63.52,58.0101
03/10/2021,55.6,8936823,61.5,62.56,54.3
03/09/2021,53.68,7416630,51.32,53.96,50.16
03/08/2021,47.55,5529204,51.74,53.8728,47.42
03/05/2021,52.47,8662833,54.4795,54.4795,46.88
03/04/2021,53.42,7357264,55.94,58,51.68
03/03/2021,56.62,6057398,64,64.16,55.65
03/02/2021,64.34,3578011,67.31,68.88,64.23
03/01/2021,67.15,5889468,65.22,67.78,64.59
02/26/2021,62.58,8007034,60.24,67.99,59.47
02/25/2021,57.98,5262612,63.42,64.2,57.77
02/24/2021,62.56,5002441,61.34,63.67,59.1001
02/23/2021,60.33,9894311,59.83,64.42,56.3465
02/22/2021,63.39,6012476,66.9,68,63.11
02/19/2021,68.5,6922439,69.36,72.18,68.01
02/18/2021,67.09,8813958,71.845,73.12,66.55
02/17/2021,74.2,5880196,76.505,77.23,71.28
02/16/2021,77.22,5520669,84.27,84.81,76.76
02/12/2021,83.68,3005251,81.5,83.85,80.67
02/11/2021,82.2,4963719,79.25,82.54,77.87
02/10/2021,78.08,4403919,77.8,79.74,75.3
02/09/2021,77.57,3033966,75.32,78.09,74.9145
02/08/2021,75.4,5065818,75.91,78.53,74.41
02/05/2021,75.08,4231628,74.4,76.75,71.83
02/04/2021,73.9,6361694,75.33,78.67,73.27
02/03/2021,74.12,6470761,72.5,75.84,70.76
02/02/2021,71.22,4588817,71.625,73.25,70.2201
02/01/2021,69.88,4459040,70.52,71.7484,68.2
01/29/2021,69.27,4306069,72.5,74.41,68.16
01/28/2021,71.84,6731959,72.09,72.93,69.5
01/27/2021,69.82,6900698,73.25,73.8,69.08
01/26/2021,75.71,5607080,80.1,81.73,75.36
01/25/2021,78.61,7102959,85.005,87.56,77.81
01/22/2021,86.39,4499073,85.01,87.11,83.13
01/21/2021,87.41,9166617,83.38,89.51,79.41
01/20/2021,81.9,7067192,84.57,85.42,80.88
01/19/2021,85.62,4903199,87,87.8,84.25
01/15/2021,84.25,7043273,87.14,89.29,83.6001
01/14/2021,88.92,5306711,90.45,92.85,88.4
01/13/2021,90.63,3835749,93.57,94,89.62
01/12/2021,93.44,5312448,98,100.93,90.84
01/11/2021,95.62,6230422,91.55,98.53,89.55
01/08/2021,96.5,7496569,92.72,96.725,90.53
01/07/2021,90.92,9412201,89.22,93.88,89.04
01/06/2021,85.17,13520330,77.67,86,77.59
01/05/2021,73.09,3738218,69.73,73.59,69.65
01/04/2021,69.98,3708635,70.68,71.95,68.2901
12/31/2020,69.38,3635114,67.4422,69.93,66.1759
12/30/2020,67.4,3268419,64.19,67.5,64.07
12/29/2020,63.77,4440038,67.92,67.9799,63.52
12/28/2020,67.88,4828908,71,74.14,67.66
12/24/2020,68.62,2058773,69.622,70.58,66.69
12/23/2020,69.87,4606177,70.032,71.3,68.67
12/22/2020,69.27,9110975,67.82,71.36,65.0501
12/21/2020,66.18,6851513,61.6,66.24,61.111
12/18/2020,62.7,13366180,62.3,67.09,61.7702
12/17/2020,62.31,4747939,62.61,63.48,59.61
12/16/2020,61.8,7950315,62.98,62.99,58.75
12/15/2020,63.17,6171005,57.89,63.91,57.65
12/14/2020,57.1,3589350,59.2,60.61,57.0901
12/11/2020,58.28,4355377,57.58,60,57.3
12/10/2020,57.58,2777665,56.7,58.5899,56.5007
12/09/2020,57.12,4674428,61.9,62.26,56.06
12/08/2020,61.31,3004866,59,61.67,58.3001
