Date,Close/Last,Volume,Open,High,Low
12/08/2021,263.01,4597494,256.04,265.31,249.4
12/07/2021,252.14,5364975,257,263.43,248.53
12/06/2021,246.87,6117951,248.44,251.7,235.53
12/03/2021,253.44,7002293,256.21,256.71,242.65
12/02/2021,261.11,7260086,261.99,265.99,251.9488
12/01/2021,261.81,8578036,287.38,294,260.39
11/30/2021,288.07,15548740,295,301.35,281.53
11/29/2021,297.96,4505867,302.67,307.86,289.6
11/26/2021,296.82,3854126,290,301.04,289.51
11/24/2021,289.59,5139471,282.6,292.91,278.44
11/23/2021,287.52,9764615,295,297.67,272.58
11/22/2021,299.13,7050125,309,312.83,291
11/19/2021,309.99,3410769,311.47,317.3031,307.76
11/18/2021,310.74,4003959,316,320.1373,306.935
11/17/2021,314.41,10798040,323.21,324,296.29
11/16/2021,329.91,8403817,350.3,355.99,323
11/15/2021,343.02,3623585,345,354,337
11/12/2021,341.29,2890489,340,344.5698,333
11/11/2021,333.3,2864681,337.75,339.95,330.19
11/10/2021,335.3,2970400,338.9,343.3799,330.54
11/09/2021,340.91,3446019,348.9,349.92,338.13
11/08/2021,344.09,3463301,358.41,363.81,338.73
11/05/2021,357.78,2164775,360.28,361.5,355
11/04/2021,356.95,2000817,357,361.2199,350.4117
11/03/2021,353.66,1549268,362,366.32,351.185
11/02/2021,360.23,1993626,354,361.14,353.905
11/01/2021,354.04,3183052,345.02,354.89,342.74
10/29/2021,343.57,2518306,349.325,349.325,340.985
10/28/2021,352.73,2760686,347.77,353.22,341.265
10/27/2021,340.17,2116134,343.91,349.15,338
10/26/2021,343.57,2562144,354.01,354.93,335.72
10/25/2021,348.32,4415732,354.59,354.92,335.44
10/22/2021,355.3,3093860,362.8,364.87,352.13
10/21/2021,363.3,1468108,361,367.43,359.88
10/20/2021,360.6,2258285,370,371.64,356.58
10/19/2021,366.99,2570401,360.69,372.6999,360.52
10/18/2021,357.09,2197333,353.75,361.63,352.23
10/15/2021,354.5,2603713,348.83,357.48,347.11
10/14/2021,345.37,3053986,354.12,354.6504,344.88
10/13/2021,349.35,5906607,325.1,351.6799,324.495
10/12/2021,324.9,2093997,319.7,330.02,315.58
10/11/2021,316.07,1304325,320,326.25,315.58
10/08/2021,323.28,1775491,329.8,332.56,322
10/07/2021,324.25,2526468,322.93,332.4,322.525
10/06/2021,315.34,2000028,316.11,321,312.51
10/05/2021,320.94,2601384,316.53,324.44,313.5
10/04/2021,317.9,2519278,317.28,317.95,308.78
10/01/2021,319.56,2424566,313.88,320.11,308.56
09/30/2021,318.73,3735572,314.79,324.9,314.41
09/29/2021,311.78,3861839,320,322.84,311.18
09/28/2021,316.72,4728516,332.3,332.38,313.81
09/27/2021,336.26,3037686,340.64,340.78,330.51
09/24/2021,340.41,2371857,339,344.64,335.51
09/23/2021,342.72,1895918,343.79,343.87,336.53
09/22/2021,337.31,2057351,329.11,338.9,327.39
09/21/2021,329.39,2426917,334.87,336.42,328.5
09/20/2021,329.62,4893013,327.48,335.5,321.19
09/17/2021,339.81,3351714,345,347.44,334.94
09/16/2021,342.91,3990323,336.1,343.35,334.12
09/15/2021,337.62,2821824,336,338.44,330.705
09/14/2021,333.55,3691662,323.69,334.91,323.69
09/13/2021,323.06,4660066,327.7,329.72,315.53
09/10/2021,325.5,9690299,330.5,337.54,323.62
09/09/2021,322.6,9807275,326.49,331.91,317.31
09/08/2021,343.8,3737722,348,349.1854,342.03
09/07/2021,351.02,3457266,357.53,359.84,350.11
09/03/2021,353.36,2904373,338.15,353.885,337.13
09/02/2021,339,2406265,342.91,343.99,334.24
09/01/2021,340.08,4197693,340,349.2172,338.99
08/31/2021,338.32,11631780,338,344.77,330.27
08/30/2021,331.82,3579920,325,337.499,324.04
08/27/2021,321.03,2903135,319.85,325.63,317.025
08/26/2021,321.77,2742561,316.27,322.805,313.05
08/25/2021,320.09,2235822,314.43,320.78,312.2004
08/24/2021,312,2272697,319.99,321.53,310.87
08/23/2021,315.23,3229258,311.94,316.445,306.23
08/20/2021,309.33,4813171,316.99,321.99,308.528
08/19/2021,321.12,5106960,309.95,328.35,309.95
08/18/2021,318.61,4936339,311.41,326.79,305.5
08/17/2021,308.27,7334536,296.02,317.255,288.17
08/16/2021,290.49,3722004,305,305.44,285.75
08/13/2021,306.71,1887606,305.13,315,303.3535
08/12/2021,306.24,2292272,302.53,308.5308,295.64
