Date,Close/Last,Volume,Open,High,Low
12/07/2021,122.32,7459249,120.54,122.58,120.26
12/06/2021,119.14,5681181,118.89,119.5,116.58
12/03/2021,119.33,7809043,121,121.85,117.98
12/02/2021,121.7,8425542,120.35,123.4,120.02
12/01/2021,120.63,12939400,119.22,123.51,119.22
11/30/2021,117.15,10561770,118.1,120.17,115.76
11/29/2021,119.28,7633952,118.36,119.88,117.9
11/26/2021,117.09,6766865,117.5,119.04,116.52
11/24/2021,120.71,6992624,120,120.87,118.395
11/23/2021,121.36,10983990,122.72,123.2,119.52
11/22/2021,124.75,16086020,123.5,128.09,123.21
11/19/2021,124.26,9076350,122.03,124.8,122.02
11/18/2021,123.39,13229660,119.97,123.555,119.8
11/17/2021,119.06,6391350,118,119.55,117.51
11/16/2021,118.08,5555127,117.69,118.38,117.16
11/15/2021,118.12,5156986,119.32,119.64,117.51
11/12/2021,118.69,6947202,118.39,118.82,117.27
11/11/2021,118.19,6993951,119.26,120.465,117.8
11/10/2021,118.2,9046064,119.6,120.8,117.68
11/09/2021,121.78,10874130,121.25,123.27,120.17
11/08/2021,120.91,15776320,118.39,122.25,117.05
11/05/2021,117.8,8668123,118.17,119.5299,116.25
11/04/2021,117.79,14682840,113.37,117.85,112.41
11/03/2021,114.01,6073019,113.44,114.1,112.7303
11/02/2021,114.11,4479656,113.59,114.8,113.54
11/01/2021,114.12,4955700,113.58,114.34,113.35
10/29/2021,113.7,7118867,114.07,114.19,113.22
10/28/2021,116.01,5714261,113.66,116.02,113.54
10/27/2021,113.75,5394494,114.03,115.06,113.71
10/26/2021,114.18,4852307,114.94,115.3,113.72
10/25/2021,113.64,6667685,114.4,114.5499,113.11
10/22/2021,114.23,6283013,116.24,117.15,114.23
10/21/2021,116.29,4640287,115.01,116.35,114.6108
10/20/2021,115.59,8205785,116.88,117.025,115.55
10/19/2021,116.96,5406087,115.8,116.98,115.63
10/18/2021,115.34,6773808,113.42,115.35,113.42
10/15/2021,114.86,11558810,114.78,114.95,112.96
10/14/2021,112.56,16930480,114.14,114.74,111.16
10/13/2021,109.98,7845095,109.32,110.05,108.95
10/12/2021,109.2,9294631,110.47,111.03,108.555
10/11/2021,110.26,5318487,110.08,111.71,109.9
10/08/2021,110.04,5143409,110.98,111.07,109.51
10/07/2021,110.83,7821918,111,111.71,110.49
10/06/2021,109.34,7553611,108.44,109.52,107.58
10/05/2021,109.26,8039615,109.8,110.35,109.22
10/04/2021,109.02,8514511,111,111.43,108.52
10/01/2021,111.56,5315200,112,112.3,110.3
09/30/2021,111.65,6437891,112.43,113.35,111.65
09/29/2021,111.62,6522356,112.3,112.85,111.02
09/28/2021,111.9,9792250,114.33,115.04,111.85
09/27/2021,116.15,5198843,115.7,116.57,115.01
09/24/2021,115.64,4455865,116,116.56,115.525
09/23/2021,116.19,5484707,116.97,116.97,115.59
09/22/2021,115.87,5345592,115.23,116.24,114.91
09/21/2021,114.96,8182230,115.65,115.87,114.553
09/20/2021,114.7,8991029,115.2,116.01,113.55
09/17/2021,117.75,10729200,120.19,120.47,117.69
09/16/2021,120.79,7301357,120,121.13,119.35
09/15/2021,121.5,5566531,122.405,122.5,120.88
09/14/2021,123.09,5110493,123.63,123.63,122.4
09/13/2021,123.62,6622769,122.94,124.1,122.202
09/10/2021,122.97,5163940,123.02,124.335,122.89
09/09/2021,122.68,5101323,122.19,123.49,121.88
09/08/2021,121.89,7983285,122.97,123.14,121.23
09/07/2021,124.7,9746856,124.62,125.28,123.89
09/03/2021,123.97,10369890,121.58,124.48,121.26
09/02/2021,120.79,6869814,120.94,121.39,120.46
09/01/2021,120.46,8603893,120.215,121.36,119.56
08/31/2021,119.01,8424941,120.01,120.8,118.7
08/30/2021,118.99,6434244,118.88,119.5,118.47
08/27/2021,118.49,6827711,118.33,119.3,117.69
08/26/2021,118.1,9892122,117.98,118.46,116.35
08/25/2021,117.03,22106790,115.71,119.18,115.61
08/24/2021,112.11,6719811,111.82,113.065,111.8
08/23/2021,110.96,9533453,110.08,111.33,109.27
08/20/2021,108.12,13042020,109.14,109.71,107.73
08/19/2021,110.52,12146910,109,110.97,107.68
08/18/2021,110.45,9167291,111.74,113,110.38
08/17/2021,111.11,13398800,113.73,113.85,110.75
08/16/2021,114.63,5439250,115.1,115.48,114.095
08/13/2021,115.5,4593208,115.07,115.52,114.49
08/12/2021,115.7,6345036,115.55,115.95,114.44
